Age	Height	Weight	Sex	Athlete
28	180	64	2	1
28	169	62	2	1
23	176	72	2	1
28	172	65	2	1
24	187	86	1	1
25	171	79	1	1
48	180	95	1	1
19	176	70	1	1
34	180	65	2	1
32	181	84	1	1
23	175	78	2	1
25	157	56	2	1
20	170	70	1	1
21	174	90	1	1
26	174	70	2	1
31	182	66	1	1
26	194	88	1	1
22	173	64	1	1
25	181	72	1	1
18	175	58	1	1
18	174	61	2	1
31	201	86	1	1
28	162	57	2	1
34	183	78	1	1
24	198	54	2	1
22	177	86	1	1
32	177	75	1	1
19	160	55	2	1
32	168	54	2	1
23	169	53	2	1
25	186	84	2	1
29	167	62	2	1
18	179	60	1	1
25	178	81	1	1
23	161	55	2	1
23	187	90	1	1
32	160	52	2	1
28	177	66	2	1
23	180	70	2	1
27	187	100	1	1
26	176	65	1	1
22	187	68	1	1
32	212	102	1	1
27	169	75	2	1
21	173	64	2	1
20	178	68	2	1
25	208	93	1	1
24	175	70	2	1
29	201	110	1	1
34	185	90	1	1
31	170	55	2	1
30	164	57	2	1
21	185	79	1	1
34	171	63	1	1
32	172	77	1	1
20	172	62	2	1
28	165	55	2	1
31	200	97	1	1
26	172	70	1	1
36	180	70	1	1
19	174	64	2	1
28	168	58	2	1
20	189	76	2	1
37	173	68	1	1
16	162	55	2	1
22	196	120	1	1
25	189	102	1	1
22	194	95	1	1
25	170	56	2	1
36	178	75	2	1
26	181	80	1	1
34	168	60	1	1
27	164	60	1	1
27	177	77	1	1
23	170	60	1	1
28	162	63	2	1
32	172	56	1	1
28	192	105	1	1
35	165	63	2	1
18	168	60	2	1
21	168	55	2	1
28	203	104	1	1
22	187	90	1	1
28	176	68	2	1
23	177	69	1	1
23	202	97	1	1
20	170	55	2	1
19	168	50	2	1
30	174	55	2	1
25	175	73	2	1
20	177	70	2	1
23	174	95	1	1
31	178	69	2	1
31	184	115	1	1
29	203	106	1	1
26	180	78	1	1
26	186	74	1	1
30	172	50	1	1
22	165	62	1	1
28	186	80	2	1
17	162	60	2	1
30	170	83	1	1
25	172	62	1	1
24	198	100	1	1
18	168	58	1	1
27	171	64	1	1
20	187	77	1	1
26	176	61	1	1
26	177	65	1	1
23	182	79	1	1
32	212	115	1	1
31	186	78	1	1
26	171	55	2	1
22	170	52	2	1
25	190	85	1	1
30	168	73	1	1
17	168	58	2	1
26	170	62	2	1
20	178	72	1	1
20	192	68	2	1
21	175	62	1	1
24	158	53	2	1
21	160	52	2	1
21	163	52	2	1
29	164	54	2	1
22	199	95	1	1
29	188	77	2	1
31	193	139	1	1
38	173	58	2	1
22	178	80	1	1
36	173	59	2	1
27	185	72	2	1
35	194	95	1	1
20	193	105	1	1
18	170	60	2	1
20	163	60	1	1
25	165	59	2	1
23	178	62	1	1
29	190	77	2	1
29	195	92	1	1
17	188	79	1	1
26	177	59	2	1
25	168	85	2	1
24	182	96	1	1
27	176	67	2	1
28	177	70	2	1
24	173	57	2	1
24	180	76	1	1
22	167	54	2	1
25	165	55	2	1
28	160	48	2	1
36	199	95	1	1
25	164	60	2	1
22	177	58	2	1
27	166	64	2	1
30	187	82	1	1
19	172	60	1	1
54	157	60	2	1
19	173	64	2	1
26	172	70	1	1
23	166	56	2	1
32	171	58	1	1
36	158	65	2	1
27	181	72	1	1
21	174	62	2	1
25	187	84	1	1
21	194	92	1	1
26	161	42	2	1
24	168	53	2	1
20	174	80	1	0
20	161.8	65	2	0
20	160.8465411	81.84870022	1	0
18	172.6567039	81.81814393	1	0
19	168.2416162	73.98309544	1	0
21	166.3755317	76.09609227	1	0
20	168.5431444	82.0960923	1	0
18	170.2927299	80.66472968	1	0
19	170.9007238	81.5072449	1	0
21	175.8402895	80.12099276	1	0
20	178.7398323	82.51746444	1	0
18	175.767978	76.58070425	1	0
19	164.6859382	77.50065939	1	0
21	165.7164709	83.90711008	1	0
20	174.7722548	82.76749909	1	0
18	174.5011523	74.20626809	1	0
19	168.4201424	81.49729433	1	0
21	180.0158299	81.65212283	1	0
20	178.7230903	70.38806155	1	0
18	167.864693	80.46897716	1	0
19	164.9684054	77.08729067	1	0
21	173.4755182	78.33560034	1	0
20	170.276161	82.27867864	1	0
18	166.7815554	82.17457446	1	0
19	168.355709	79.58205517	1	0
21	167.0172404	79.53541264	1	0
20	175.1101189	80.2299693	1	0
18	174.2022237	77.67512986	1	0
19	167.738607	78.37383895	1	0
21	169.9935525	75.47173553	1	0
20	165.5943508	79.25199019	1	0
18	165.8073696	80.70674319	1	0
19	177.0126303	82.71240098	1	0
21	169.1969117	78.06868515	1	0
20	170.1137007	79.89999684	1	0
18	171.7129438	79.7237207	1	0
19	168.5114077	79.57183444	1	0
21	168.5008063	83.46206146	1	0
20	176.9423875	81.63281771	1	0
18	167.3807345	83.79068818	1	0
19	168.9454855	78.2592125	1	0
21	168.3162875	78.14642844	1	0
20	171.4971491	79.89056983	1	0
18	171.9156732	79.85417616	1	0
19	164.1501869	80.41955929	1	0
21	171.5938335	79.83536719	1	0
20	177.4710423	83.31011548	1	0
18	163.4795625	81.80026273	1	0
19	183.7406855	79.91638328	1	0
21	173.6413019	76.3202596	1	0
20	160.3301477	62.64651577	2	0
18	156.0518849	63.27834428	2	0
19	162.1173858	61.03238571	2	0
21	157.3259001	69.00065725	2	0
20	162.7460708	63.20194266	2	0
18	161.5189454	63.3554711	2	0
19	163.4335255	60.62648064	2	0
21	168.734519	63.63497196	2	0
20	159.4474988	63.46046025	2	0
18	160.2278225	62.7386054	2	0
19	163.1121371	61.27237179	2	0
21	166.9144388	68.02552226	2	0
20	160.6055641	67.85933194	2	0
18	153.9121678	61.83201596	2	0
19	161.9081711	61.35695664	2	0
21	162.00689	63.56709315	2	0
20	160.4495164	70.91510359	2	0
18	156.1465789	61.93561671	2	0
19	168.4319228	63.51544351	2	0
21	161.5677844	70.63852523	2	0
20	156.7854158	65.91344981	2	0
18	167.0642409	60.84711135	2	0
19	156.5334689	63.82746526	2	0
21	165.7326435	61.90652797	2	0
20	159.7749577	65.79675974	2	0
18	166.3228776	67.01415506	2	0
19	155.8387481	69.38460757	2	0
21	157.2576721	65.57612525	2	0
20	159.9872144	62.02615533	2	0
18	164.6545791	62.13316045	2	0
19	165.3413312	58.37126322	2	0
21	160.8887214	66.48336641	2	0
20	155.5507254	64.04864559	2	0
18	163.0512684	61.63144003	2	0
19	156.8675189	64.93509188	2	0
21	160.7631333	65.08135345	2	0
20	158.234622	67.47742463	2	0
18	152.1574064	65.02214509	2	0
19	162.0941156	64.76058812	2	0
21	162.8705203	64.44900578	2	0
20	164.8422152	67.85215076	2	0
18	156.4200504	62.76957081	2	0
19	160.7179588	67.85002191	2	0
21	156.2656152	67.32208918	2	0
20	168.6443263	62.19862515	2	0
18	157.4237028	66.03716006	2	0
19	170.1516005	64.43070429	2	0
21	163.9716338	65.72090843	2	0
20	159.6606538	66.55570291	2	0
18	161.8774095	71.64035702	2	0
19	169.9060298	66.89877358	2	0
21	164.5230778	60.75125679	2	0
21	165.4269632	62.68926203	2	0
20	160.9413841	61.72115129	2	0
